# N threads time result rel_error
100 1 1e-06 2479.54 21.5462
1000 1 8e-06 2100.33 2.95741
10000 1 8e-05 2055.7 0.769425
100000 1 0.000785 2041.74 0.0853025
1000000 1 0.008043 2039.63 0.0179836
100 2 5.6539e-05 2386.97 17.0085
1000 2 0.000129718 2048.13 0.398541
10000 2 9.2659e-05 2027.59 0.608361
100000 2 0.000665371 2040.98 0.0482394
1000000 2 0.00401013 2038.78 0.0598275
100 4 0.000238061 2579.46 26.4443
1000 4 0.000201767 2086.81 2.29474
10000 4 0.000199024 2047.38 0.361875
100000 4 0.000364339 2037.81 0.107452
1000000 4 0.0022497 2036.88 0.152789
100 8 0.000410516 2536.1 24.3188
1000 8 0.000264336 2138.8 4.84312
10000 8 0.000299256 2055.77 0.773161
100000 8 0.000444822 2037.14 0.140235
1000000 8 0.00120257 2038.55 0.0708761
