coord,phi_vs_x_at_y0,phi_vs_y_at_x0
-1.0000000000,0.0000000000,0.0000000000
-0.9000000000,0.0338857840,0.0402641944
-0.8000000000,0.0595339024,0.0714409818
-0.7000000000,0.0786510641,0.0945927615
-0.6000000000,0.0928389510,0.1110110122
-0.5000000000,0.1035552028,0.1221817456
-0.4000000000,0.1120861162,0.1296382140
-0.3000000000,0.1195300450,0.1347465690
-0.2000000000,0.1267891568,0.1384977811
-0.1000000000,0.1345668080,0.1413788527
0.0000000000,0.1433679986,0.1433679986
0.1000000000,0.1535008519,0.1440527419
0.2000000000,0.1650776137,0.1428242248
0.3000000000,0.1780141724,0.1390730126
0.4000000000,0.1920275394,0.1323121033
0.5000000000,0.2066311057,0.1221817456
0.6000000000,0.2211278300,0.1083371230
0.7000000000,0.2346018342,0.0902663178
0.8000000000,0.2459091908,0.0671145381
0.9000000000,0.2536689402,0.0375903052
1.0000000000,0.2562555233,0.0000000000
